positionId,jobTitle,jobType,responsibleMO,jobDescription,requirements,interviewLocation,deadline,publishedByUserId,status,grade,major,headcount
POS_2026041100000_12,Wireless Comms TA,Daily attendance,LGL,Record attendance and participation,Reliable,Room 210,2026-09-05,MO_1775665335271_1,OPEN,Year3,TEM,3
POS_2026041100000_13,IOT Security Grader,grading,LGL,Grade security lab reports,Knowledge of network security,TB3,2026-10-01,MO_1775665335271_1,OPEN,Year4,IOT,2
POS_2026041100000_14,Power Systems Assistant,and other tasks,LGL,Help prepare lab materials,Experience with high voltage equipment,Power Lab,2026-09-15,MO_1775665335271_1,OPEN,Year4,EE,2
POS_2026041100000_15,Machine Learning TA,Assess,LGL,Review ML models and code,Proficient in PyTorch/TensorFlow,Room 308,2026-09-20,MO_1775665335271_1,OPEN,Year4,IST,4
POS_2026041100000_16,Optical Networks Invigilator,invigilation,LGL,Invigilate term exams,Punctual,Exam Hall B,2026-11-15,MO_1775665335271_1,OPEN,Year4,TEM,2
POS_2026041100000_17,General IOT Helpdesk,and other tasks,LGL,Answer general questions for IOT courses,Patient and knowledgeable,Library,2026-10-10,MO_1775665335271_1,OPEN,Year1,IOT,2
POS_2026041100000_18,EE Freshman Mentor,Daily attendance,LGL,Track attendance for EE seminars,Friendly attitude,Room 110,2026-09-05,MO_1775665335271_1,OPEN,Year1,EE,3
POS_2026041100000_19,IST Java Grader,grading,LGL,Grade Java intro assignments,Familiar with Java syntax,Online,2026-09-25,MO_1775665335271_1,OPEN,Year2,IST,2
POS_2026041100000_20,TEM Lab Assistant,Assess,LGL,Assess basic telecom setups,Experience with oscilloscopes,Lab 3,2026-10-05,MO_1775665335271_1,OPEN,Year2,TEM,2
POS_2026041100000_21,Embedded Systems TA,invigilation,LGL,Invigilate embedded systems exam,Strict,Room 401,2026-11-20,MO_1775665335271_1,OPEN,Year3,IOT,2
POS_2026041100000_22,Analog Circuits TA,grading,LGL,Grade analog circuit designs,Detail-oriented,Room 102,2026-09-30,MO_1775665335271_1,OPEN,Year3,EE,2
POS_2026041100000_23,Database Systems TA,and other tasks,LGL,Assist with SQL queries,Familiar with MySQL,Room 205,2026-10-10,MO_1775665335271_1,OPEN,Year4,IST,3
POS_2026041100000_24,Satellite Comms Grader,grading,LGL,Grade theoretical assignments,Good math skills,Room 312,2026-10-15,MO_1775665335271_1,OPEN,Year4,TEM,2
POS_IST_001,Machine Learning Fundamentals,Part-Time,Wang Wei,Assist main instructor in grading assignments and answering student questions; requires 2 office hour sessions per week.,Preference for IST majors with grades over 90; proficient in Python and PyTorch; excellent English scores preferred.,Hongfu Campus Teaching Building 201,2026-06-30,MO_20260518_IST_1,OPEN,Year3,IST,3
POS_IST_002,Object-Oriented Programming (Java),Part-Time,Wang Wei,Grade Java programming assignments and guide students to complete final project designs; collect and summarize student code questions and provide answers.,Computer-related majors; excellent Java grades and understanding of design patterns; proficient in using GitHub; patient.,Hongfu Campus Lab Building 302,2026-06-30,MO_20260518_IST_1,OPEN,Year2,IST,2
POS_EE_001,Fundamentals of Circuit Analysis,Part-Time,Liu Yang,Coordinate with main instructor to grade theoretical circuit analysis assignments; guide lab sessions and help students troubleshoot circuit board issues.,EE major with excellent grades in core subjects; proficient in using oscilloscopes and lab equipment; capable of using Multisim; strong hands-on skills.,Hongfu Campus Lab Building 105,2026-06-30,MO_20260518_EE_1,OPEN,Year2,EE,2
POS_IOT_001,Embedded System Design,Full-Time,Zhang San,Assist instructor with setting up embedded system lab environments; grade C and STM32 code; answer student questions.,IOT major with embedded low-level development experience; proficient in C; strong troubleshooting and debugging skills.,Hongfu Campus Teaching Building 3 405,2026-06-30,MO_20260518_IOT_1,OPEN,Year3,IOT,2
POS_1779447158819_1,Teaching Assistant for Software Engineering,grading,LGL,"The Teaching Assistant (TA) will provide dedicated grading support for the Software Engineering course offered to Year 3 students in the Internet of Things (IoT) major. Responsibilities include accurately and consistently marking weekly programming assignments, lab reports, and midterm/final exam components; providing constructive, timely feedback aligned with rubrics and learning outcomes; attending TA briefing sessions and coordinating closely with the Module Organizer and lead instructor; maintaining detailed grading records and participating in moderation meetings to ensure fairness and consistency across cohorts.","Candidates must be currently enrolled as or have recently completed a Bachelor’s or Master’s degree in Computer Science, Software Engineering, IoT, or a closely related field; possess strong foundational knowledge in software engineering principles (e.g., SDLC, agile methods, UML, testing, version control with Git); demonstrate prior experience in grading, tutoring, or supporting technical coursework—especially involving Java/Python-based IoT-relevant projects;",TB3,2026-09-30,MO_1775665335271_1,OPEN,Year3,IOT,3
POS_1779447631742_1,Teaching Assistant for Embedded Systems (IST Year 3 Grading Support),grading,Zhang San,"The Teaching Assistant will support the Embedded Systems course for third-year Information Systems Technology (IST) students, with primary responsibility for accurate and timely grading of assignments, quizzes, lab reports, and coding exercises. The TA will review student submissions against rubrics, provide constructive feedback, maintain detailed grading records, and attend weekly coordination meetings with the Module Organizer. Occasional light support may include clarifying assignment instructions to students via the learning management system (LMS) and assisting in preparing grading keys or sample solutions under faculty supervision. This is a term-based, part-time role requiring consistency, attention to detail, and adherence to academic integrity standards.","Candidate must be an IST major (preferably Year 4 or recent graduate) with demonstrated academic excellence (minimum GPA 3.5/4.0) in Embedded Systems or closely related courses (e.g., Microcontrollers, Real-Time Systems, C Programming, Digital Electronics). Prior TA experience—especially in embedded labs or grading technical coursework—is strongly preferred. Proficiency in C/C++, basic familiarity with microcontroller platforms (e.g., ARM Cortex-M, Arduino, or Raspberry Pi Pico), and experience using version control (Git) and LMS tools (e.g., Moodle or Canvas) are required. Excellent written communication skills in English, strong time management, and the ability to interpret and apply grading rubrics objectively are essential.",TB4,2026-09-30,MO_20260518_IOT_1,OPEN,Year3,IST,3
POS_1779585313383_1,Embedded System Design (Copy),Full-Time,LGL,Assist instructor with setting up embedded system lab environments; grade C and STM32 code; answer student questions.,IOT major with embedded low-level development experience; proficient in C; strong troubleshooting and debugging skills.,Hongfu Campus Teaching Building 3 405,2026-06-30,MO_1775665335271_1,OPEN,Year3,IOT,2
POS_1779587109909_5,iot,grading,LGL,grading,more skillled,TV4,2026-07-05,MO_1775665335271_1,OPEN,Year3,IOT,3
